industry,project,aiCategory,objective,baselineMetric,baselineValue,postAiValue,improvement,annualizedBenefit,annualizedCost,benefitDriver,linkedCostId,paybackPeriod,roi,npv,irr,strategicPillar,businessUnit,owner,status,validationSource,notes
Energy,Integrity Token Accounting,LLM,Reduce OOS,AHT (mins),54.98,50.9,7.42,1479157.97,1304103.73,Faster TTM,C067,11,13.42,631031.36,152.26,Efficiency,Data Science,Vedant,On Hold,Web Analytics,Synthetic sample data for ROI modeling
Telecom,EnterGrow Campaign Optimizer,LLM,Reduce handling time,AHT (mins),50.54,40.41,20.04,1396523.57,556553.25,Cost Avoidance,C118,5,150.92,3027905.02,55.86,Experience,HR,Hanim,Pipeline,CRM,Synthetic sample data for ROI modeling
Retail,Redpulse Demand Intelligence,RAG,Lower costs,Tickets per Agent,12.3,15.95,-29.67,1781296.73,532767.28,Cost Avoidance,C045,4,234.35,4500669.25,154.84,Revenue Growth,Service,Sourabh,Scaling,CRM,Synthetic sample data for ROI modeling
Telecom,Sales Copilot,LLM,Improve CSAT,AHT (mins),41.31,33.68,18.47,1258046.23,1300329.15,Revenue Uplift,C003,12,-3.25,-152420.46,174.91,Experience,Marketing,Wei Wei,Pilot,Ops Logs,Synthetic sample data for ROI modeling
Banking,Sales Copilot,Computer Vision,Lower costs,Forecast Accuracy %,43.34,50.6,16.75,862366.75,580301.29,Cost Avoidance,C115,8,48.61,1016782.86,79.05,Efficiency,Supply Chain,Vedant,On Hold,Ops Logs,Synthetic sample data for ROI modeling
Manufacturing,Integrity Token Accounting,Agentic,Lower costs,Fraud Rate %,58.06,73.82,-27.14,1706298.5,923348.9,Revenue Uplift,C077,6,84.79,2822358.09,71.26,Experience,Data Science,Vedant,Active,Billing,Synthetic sample data for ROI modeling
QSR,WMS-Light Optimizer,Computer Vision,Reduce handling time,AHT (mins),32,25.35,20.78,217485.29,1208486.52,Cost Avoidance,C110,67,-82,-3572337.65,118.01,Efficiency,AI Ops,Wei Wei,Scaling,Billing,Synthetic sample data for ROI modeling
QSR,Claims Auto-Adjudication,RAG,Reduce OOS,Fraud Rate %,4.05,4.72,-16.54,1737525.18,531171.4,Faster TTM,C025,4,227.11,4348635.4,135.57,Experience,Risk & Fraud,Shakira,Active,ERP,Synthetic sample data for ROI modeling
Energy,Artemis AI Hunter,Computer Vision,Increase conversion,Tickets per Agent,9.42,7.6,19.32,2434614.41,1371121.53,Cost Avoidance,C098,7,77.56,3833653.83,171.77,Revenue Growth,Sales,Vedant,Pilot,Billing,Synthetic sample data for ROI modeling
Manufacturing,Redpulse Demand Intelligence,Computer Vision,Improve forecast,Out-of-Stock %,19.05,24.4,-28.08,1438082.87,960735.2,Faster TTM,C111,8,49.69,1720731.52,114.95,Revenue Growth,Supply Chain,Jin,On Hold,CRM,Synthetic sample data for ROI modeling
Energy,Claims Auto-Adjudication,Automation,Improve forecast,Tickets per Agent,5.14,6.6,-28.4,455227.51,530438.08,Productivity,C026,14,-14.18,-271117.27,178.01,Efficiency,Risk & Fraud,Wei Wei,Pilot,CRM,Synthetic sample data for ROI modeling
Logistics,Redpulse Demand Intelligence,LLM,Improve forecast,Fraud Rate %,5.36,5.15,3.92,667677.99,273693.49,Productivity,C100,5,143.95,1420225.95,143.49,Revenue Growth,Marketing,Shakira,Scaling,Web Analytics,Synthetic sample data for ROI modeling
Manufacturing,Claims Auto-Adjudication,RAG,Reduce OOS,Conversion Rate,4.19,3.18,-24.11,1150649.15,1340709.43,Faster TTM,C002,14,-14.18,-685124.77,142.31,Efficiency,AI Ops,Wei Wei,Pipeline,ERP,Synthetic sample data for ROI modeling
Retail,Redpulse Demand Intelligence,Computer Vision,Reduce handling time,Conversion Rate,24.25,25.97,7.09,542709.55,92434.57,Productivity,C106,2,487.13,1623140.53,172.01,Innovation,IT / Platform,Shakira,Active,Web Analytics,Synthetic sample data for ROI modeling
