industry,category,subcategory,description,costType,vendor,department,modelService,cloudRegion,environment,usageUnit,quantity,unitCost,monthlyCost,annualizedCost,billingAccount,contractId,startDate,endDate,owner,tags,notes
Retail,Cloud Compute,CPU,Retail - Cloud Compute CPU cost line,Fixed,Google Cloud,Supply Chain,Mixtral 8x7B,Mumbai,Stage,Requests,3.62,0.0128,0.05,0.6,BA-362-Mu,C100,2025-01-28,2025-12-27,Jin,"SG, Prod, AI, Agentic",Synthetic sample data for template robustness
QSR,Model/API,Text Generation,QSR - Model/API Text Generation cost line,Fixed,Snowflake,Sales,Mixtral 8x7B,Frankfurt,Stage,Tokens,221716.68,0.00001,2.22,26.64,BA-611-Fr,C101,2025-03-18,2025-11-30,Sourabh,"SG, Security, FinOps, Cloud",Synthetic sample data for template robustness
Banking,Cloud Compute,CPU,Banking - Cloud Compute CPU cost line,Fixed,Snowflake,Sales,GPT-4o,Virginia,Prod,Tokens,1046969.59,0.00001,10.47,125.64,BA-469-Vi,C102,2025-01-09,2026-01-08,Shakira,"SG, AI, Security, Prod",Synthetic sample data for template robustness
Healthcare,Observability,Metrics,Healthcare - Observability Metrics cost line,Fixed,Databricks,AI Ops,-,Singapore,Stage,Images,366.74,0.09461,34.7,416.4,BA-890-Si,C103,2025-03-16,2026-01-18,Vedant,"AI, FinOps",Synthetic sample data for template robustness
Healthcare,Data Platform,Data Warehouse,Healthcare - Data Platform Data Warehouse cost line,Fixed,Google Cloud,Supply Chain,-,Tokyo,Dev,GB-Hours,388.32,2.7732,1076.89,12922.68,BA-400-To,C104,2025-01-26,2025-06-06,Jin,"FinOps, Compliance",Synthetic sample data for template robustness
CPG,Professional Services,Advisory,CPG - Professional Services Advisory cost line,Fixed,OpenAI,Service,-,Virginia,Dev,Seat,10,924.59,9245.9,110950.8,BA-899-Vi,C105,2025-01-07,2025-12-14,Wei Wei,"Compliance, Cloud, Prod",Synthetic sample data for template robustness
Manufacturing,Platform License,Tuning Studio,Manufacturing - Platform License Tuning Studio cost line,Variable,Snowflake,Supply Chain,-,Sydney,Dev,Seat,16,1745.57,27929.12,335149.44,BA-476-Sy,C106,2025-04-29,2026-03-19,Shakira,"Cloud, Prod, AI",Synthetic sample data for template robustness
Logistics,Professional Services,Advisory,Logistics - Professional Services Advisory cost line,Variable,Anthropic,Risk & Fraud,-,Singapore,Stage,Seat,22,774.32,17035.04,204420.48,BA-556-Si,C107,2025-03-19,2026-01-16,Hanim,"Pilot, FinOps",Synthetic sample data for template robustness
Energy,Observability,Tracing,Energy - Observability Tracing cost line,Fixed,Azure,Finance,-,Virginia,Dev,Tokens,1342368.11,0.00001,13.42,161.04,BA-515-Vi,C108,2025-02-16,2025-10-25,Wei Wei,"Agentic, AI, Cloud, Compliance",Synthetic sample data for template robustness
Telecom,Cloud Compute,GPU/TPU,Telecom - Cloud Compute GPU/TPU cost line,Fixed,AWS,Data Science,Mixtral 8x7B,Sydney,Stage,Runs,474.78,0.00583,2.77,33.24,BA-257-Sy,C109,2025-03-28,2025-11-18,Vedant,"Pilot, Cloud, Compliance",Synthetic sample data for template robustness
Government,Platform License,Agent Runtime,Government - Platform License Agent Runtime cost line,Fixed,AWS,Service,-,Singapore,Dev,Seat,24,505.82,12139.68,145676.16,BA-630-Si,C110,2025-02-19,2026-02-07,Shakira,"Compliance, SG",Synthetic sample data for template robustness
Healthcare,Storage,DB,Healthcare - Storage DB cost line,Fixed,UiPath,Service,-,Tokyo,Dev,Images,426.56,0.06835,29.16,349.92,BA-830-To,C111,2025-02-26,2025-07-18,Wei Wei,"FinOps, Cloud, Compliance",Synthetic sample data for template robustness
Logistics,Networking,Egress,Logistics - Networking Egress cost line,Variable,Databricks,Marketing,-,Frankfurt,Dev,Tokens,1970265.11,0.00001,19.7,236.4,BA-911-Fr,C112,2025-01-18,2025-07-17,Hanim,"FinOps, SG",Synthetic sample data for template robustness
Healthcare,Model/API,Text Generation,Healthcare - Model/API Text Generation cost line,Fixed,Snowflake,Service,Mixtral 8x7B,Virginia,Stage,Requests,205.99,0.06201,12.77,153.24,BA-688-Vi,C113,2025-01-10,2025-06-11,Vedant,"Cloud, Pilot, Security, FinOps",Synthetic sample data for template robustness
Insurance,Data Platform,ETL,Insurance - Data Platform ETL cost line,Fixed,Snowflake,Marketing,-,Frankfurt,Dev,Tokens,1036204.75,0.00001,10.36,124.32,BA-411-Fr,C114,2025-01-22,2025-07-02,Vedant,"Security, FinOps, Compliance, Agentic",Synthetic sample data for template robustness
Media,Storage,DB,Media - Storage DB cost line,Variable,Azure,HR,-,Tokyo,Prod,Minutes,307.6,0.01492,4.59,55.08,BA-756-To,C115,2025-01-22,2025-10-20,Shakira,"Agentic, FinOps",Synthetic sample data for template robustness
Energy,Cloud Compute,GPU/TPU,Energy - Cloud Compute GPU/TPU cost line,Fixed,Azure,AI Ops,Mixtral 8x7B,Tokyo,Prod,Runs,309.44,0.00551,1.71,20.52,BA-742-To,C116,2025-03-11,2025-09-21,Wei Wei,"Pilot, Security, Prod",Synthetic sample data for template robustness
CPG,Networking,Ingress,CPG - Networking Ingress cost line,Variable,OpenAI,Data Science,-,Tokyo,Stage,Runs,242.64,0.0314,7.62,91.44,BA-721-To,C117,2025-01-19,2025-08-07,Wei Wei,"FinOps, Prod, Cloud",Synthetic sample data for template robustness
Media,Observability,Logging,Media - Observability Logging cost line,Fixed,Anthropic,Supply Chain,-,Sydney,Stage,Images,71.3,0.00854,0.61,7.32,BA-493-Sy,C118,2025-04-21,2026-01-23,Hanim,"Agentic, FinOps",Synthetic sample data for template robustness
Banking,Storage,Blob,Banking - Storage Blob cost line,Fixed,Cohere,Supply Chain,-,Mumbai,Stage,Minutes,249.19,0.01442,3.59,43.08,BA-502-Mu,C119,2025-03-06,2025-10-29,Jin,"FinOps, AI",Synthetic sample data for template robustness
Manufacturing,Human,Product Manager,Manufacturing - Human Product Manager cost line,Variable,Cohere,Service,-,-,-,FTE,1,2125.57,2125.57,25506.84,BA-541-XX,C120,2025-01-18,2025-12-29,Vedant,"FinOps, Prod, Agentic, AI",Synthetic sample data for template robustness
